,County,Date,Index
618,San Joaquin,1/24/2020,125.58
619,San Luis Obispo,1/24/2020,147.1
620,San Mateo,1/24/2020,115.78
621,Santa Barbara,1/24/2020,135.53
622,Santa Clara,1/24/2020,121.38
623,Santa Cruz,1/24/2020,122.1
624,Shasta,1/24/2020,115.74
625,Siskiyou,1/24/2020,122.15
626,Solano,1/24/2020,132.18
627,Sonoma,1/24/2020,117.04
628,Stanislaus,1/24/2020,118.93
629,Sutter,1/24/2020,117.16
630,Tehama,1/24/2020,134.97
631,Tulare,1/24/2020,120.28
632,Tuolumne,1/24/2020,129.5
633,Ventura,1/24/2020,129.17
634,Yolo,1/24/2020,139.92
635,Yuba,1/24/2020,122.58
636,Alameda,1/25/2020,111.34
637,Amador,1/25/2020,169.84
638,Butte,1/25/2020,124.7
639,Calaveras,1/25/2020,127.98
640,Colusa,1/25/2020,127.56
641,Contra Costa,1/25/2020,110.47
642,Del Norte,1/25/2020,101.1
643,El Dorado,1/25/2020,150.33
644,Fresno,1/25/2020,114.22
645,Glenn,1/25/2020,119.88
646,Humboldt,1/25/2020,107.31
647,Imperial,1/25/2020,137.45
648,Inyo,1/25/2020,127.11
649,Kern,1/25/2020,125.54
650,Kings,1/25/2020,117.17
651,Lake,1/25/2020,112.42
652,Lassen,1/25/2020,111.12
653,Los Angeles,1/25/2020,126.5
654,Madera,1/25/2020,119.95
655,Marin,1/25/2020,116.73
656,Mariposa,1/25/2020,140.91
657,Mendocino,1/25/2020,109.32
658,Merced,1/25/2020,123.86
659,Mono,1/25/2020,264.73
660,Monterey,1/25/2020,131.72
661,Napa,1/25/2020,126.22
662,Nevada,1/25/2020,135.04
663,Orange,1/25/2020,127.4
664,Placer,1/25/2020,129.15
665,Riverside,1/25/2020,129.36
666,Sacramento,1/25/2020,113.09
667,San Benito,1/25/2020,124.9
668,San Bernardino,1/25/2020,122.87
669,San Diego,1/25/2020,122.68
670,San Francisco,1/25/2020,128.87
671,San Joaquin,1/25/2020,113.67
672,San Luis Obispo,1/25/2020,159.52
673,San Mateo,1/25/2020,99.8
674,Santa Barbara,1/25/2020,139.55
675,Santa Clara,1/25/2020,103.34
676,Santa Cruz,1/25/2020,116.25
677,Shasta,1/25/2020,102.94
678,Siskiyou,1/25/2020,118.29
679,Solano,1/25/2020,124.63
680,Sonoma,1/25/2020,108.44
681,Stanislaus,1/25/2020,114.76
682,Sutter,1/25/2020,113.01
683,Tehama,1/25/2020,121.07
