County,Date,Index
Glenn,1/26/2020,108.85
Humboldt,1/26/2020,91.84
Imperial,1/26/2020,110.41
Inyo,1/26/2020,181.06
Kern,1/26/2020,97.58
Kings,1/26/2020,93.37
Lake,1/26/2020,88.02
Lassen,1/26/2020,98.36
Los Angeles,1/26/2020,92.24
Madera,1/26/2020,97.85
Marin,1/26/2020,94.46
Mariposa,1/26/2020,127.04
Mendocino,1/26/2020,94.51
Merced,1/26/2020,102.94
Mono,1/26/2020,228.73
Monterey,1/26/2020,104.1
Napa,1/26/2020,99.39
Nevada,1/26/2020,196.11
Orange,1/26/2020,90.81
Placer,1/26/2020,107.3
Riverside,1/26/2020,95.95
Sacramento,1/26/2020,85.1
San Benito,1/26/2020,86.34
San Bernardino,1/26/2020,98.68
San Diego,1/26/2020,90.2
San Francisco,1/26/2020,92.89
San Joaquin,1/26/2020,84.34
San Luis Obispo,1/26/2020,124.62
San Mateo,1/26/2020,76.42
Santa Barbara,1/26/2020,112.77
Santa Clara,1/26/2020,78.91
Santa Cruz,1/26/2020,91.5
Shasta,1/26/2020,80.38
Siskiyou,1/26/2020,105.74
Solano,1/26/2020,98.23
Sonoma,1/26/2020,87.26
Stanislaus,1/26/2020,80.08
Sutter,1/26/2020,88.28
Tehama,1/26/2020,104.81
Tulare,1/26/2020,88.2
Tuolumne,1/26/2020,117.66
Ventura,1/26/2020,107.79
Yolo,1/26/2020,98.34
Yuba,1/26/2020,91.19
Alameda,1/27/2020,98.83
Amador,1/27/2020,106.88
Butte,1/27/2020,110.22
Calaveras,1/27/2020,96.57
Colusa,1/27/2020,93
Contra Costa,1/27/2020,98.38
Del Norte,1/27/2020,87.92
El Dorado,1/27/2020,92.49
Fresno,1/27/2020,99.17
Glenn,1/27/2020,87.47
Humboldt,1/27/2020,88.63
Imperial,1/27/2020,102.94
Inyo,1/27/2020,109.87
Kern,1/27/2020,110.52
Kings,1/27/2020,99.58
Lake,1/27/2020,109.27
Lassen,1/27/2020,111.83
Los Angeles,1/27/2020,103.36
Madera,1/27/2020,131.98
Marin,1/27/2020,99.7
Mariposa,1/27/2020,92.41
Mendocino,1/27/2020,95.2
Merced,1/27/2020,102.2
Mono,1/27/2020,143.7
Monterey,1/27/2020,105.59
Napa,1/27/2020,98.51
Nevada,1/27/2020,89.55
Orange,1/27/2020,104.89
Placer,1/27/2020,97.84
Riverside,1/27/2020,102.42
Sacramento,1/27/2020,102.25
San Benito,1/27/2020,103.31
San Bernardino,1/27/2020,102.55
San Diego,1/27/2020,104.47
San Francisco,1/27/2020,86.55
San Joaquin,1/27/2020,98.76
San Luis Obispo,1/27/2020,102.29
San Mateo,1/27/2020,93.85
Santa Barbara,1/27/2020,102.53
Santa Clara,1/27/2020,98.43
