county,state,population,drate,crate,date,fips,cases,deaths,state_death,state_case,case_day,death_day
Colusa,California,21547,0,32.48712118,5/26/2020,6011,5,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/27/2020,6011,5,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/28/2020,6011,5,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/29/2020,6011,5,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/30/2020,6011,5,0,51,52,0,0
Colusa,California,21547,0,32.48712118,5/31/2020,6011,5,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/1/2020,6011,7,0,51,52,2,0
Colusa,California,21547,0,32.48712118,6/2/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/3/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/4/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/5/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/6/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/7/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/8/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/9/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/10/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/11/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/12/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/13/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/14/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/15/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/16/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/17/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/18/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/19/2020,6011,7,0,51,52,0,0
Colusa,California,21547,0,32.48712118,6/20/2020,6011,7,0,51,52,0,0
Plumas,California,18807,0,26.5858457,3/31/2020,6063,1,0,52,55,1,0
Plumas,California,18807,0,26.5858457,4/1/2020,6063,1,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/2/2020,6063,1,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/3/2020,6063,2,0,52,55,1,0
Plumas,California,18807,0,26.5858457,4/4/2020,6063,3,0,52,55,1,0
Plumas,California,18807,0,26.5858457,4/5/2020,6063,3,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/6/2020,6063,3,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/7/2020,6063,3,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/8/2020,6063,3,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/9/2020,6063,3,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/10/2020,6063,4,0,52,55,1,0
Plumas,California,18807,0,26.5858457,4/11/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/12/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/13/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/14/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/15/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/16/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/17/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/18/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/19/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/20/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/21/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/22/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/23/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/24/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/25/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/26/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/27/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/28/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/29/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,4/30/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/1/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/2/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/3/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/4/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/5/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/6/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/7/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/8/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/9/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/10/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/11/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/12/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/13/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/14/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/15/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/16/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/17/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/18/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/19/2020,6063,5,0,52,55,1,0
Plumas,California,18807,0,26.5858457,5/20/2020,6063,5,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/21/2020,6063,4,0,52,55,-1,0
Plumas,California,18807,0,26.5858457,5/22/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/23/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/24/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/25/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/26/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/27/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/28/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/29/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/30/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,5/31/2020,6063,4,0,52,55,0,0
