date,admin_level,admin1,admin2,fips,samples,m50,m50_index
5/11/2020,2,California,Butte,6007,1863,1.443,31
5/12/2020,2,California,Butte,6007,2078,2.005,43
5/13/2020,2,California,Butte,6007,1586,2.108,45
5/14/2020,2,California,Butte,6007,1631,2.542,55
5/15/2020,2,California,Butte,6007,3037,3.576,77
5/16/2020,2,California,Butte,6007,3066,2.536,54
5/17/2020,2,California,Butte,6007,3181,0.951,20
5/18/2020,2,California,Butte,6007,3167,2.608,56
5/19/2020,2,California,Butte,6007,2881,2.403,52
5/20/2020,2,California,Butte,6007,2942,3.724,80
5/21/2020,2,California,Butte,6007,3187,3.653,79
5/22/2020,2,California,Butte,6007,3222,4.211,91
5/23/2020,2,California,Butte,6007,3049,3.331,72
5/24/2020,2,California,Butte,6007,2987,2.522,54
5/25/2020,2,California,Butte,6007,2928,2.338,50
5/26/2020,2,California,Butte,6007,3129,3.234,70
5/27/2020,2,California,Butte,6007,3070,3.425,74
5/28/2020,2,California,Butte,6007,3022,3.521,76
5/30/2020,2,California,Butte,6007,2774,1.5,32
5/31/2020,2,California,Butte,6007,2418,2.259,48
6/1/2020,2,California,Butte,6007,3304,4.055,87
6/2/2020,2,California,Butte,6007,2427,3.484,75
6/3/2020,2,California,Butte,6007,3408,3.564,77
6/4/2020,2,California,Butte,6007,3063,3.84,83
6/5/2020,2,California,Butte,6007,2838,4.217,91
6/6/2020,2,California,Butte,6007,3126,3.294,71
6/7/2020,2,California,Butte,6007,2897,2.07,44
6/8/2020,2,California,Butte,6007,3312,4.012,86
6/9/2020,2,California,Butte,6007,2836,3.768,81
6/10/2020,2,California,Butte,6007,2961,3.618,78
6/11/2020,2,California,Butte,6007,3131,3.912,84
6/12/2020,2,California,Butte,6007,2870,3.375,73
6/13/2020,2,California,Butte,6007,2894,3.358,72
6/14/2020,2,California,Butte,6007,2427,2.58,55
6/15/2020,2,California,Butte,6007,2532,3.359,72
6/16/2020,2,California,Butte,6007,2568,3.228,69
6/17/2020,2,California,Butte,6007,3047,3.818,82
6/18/2020,2,California,Butte,6007,2619,4.207,91
6/19/2020,2,California,Butte,6007,3600,4.039,87
6/20/2020,2,California,Butte,6007,2404,3.362,72
6/21/2020,2,California,Butte,6007,2404,2.69,58
6/22/2020,2,California,Butte,6007,2553,3.493,75
6/23/2020,2,California,Butte,6007,2639,4.069,88
3/1/2020,2,California,Calaveras,6009,513,11.571,67
3/2/2020,2,California,Calaveras,6009,440,17.042,98
3/3/2020,2,California,Calaveras,6009,441,16.905,98
3/4/2020,2,California,Calaveras,6009,461,17.491,101
3/5/2020,2,California,Calaveras,6009,427,17.38,100
3/6/2020,2,California,Calaveras,6009,431,17.218,100
3/7/2020,2,California,Calaveras,6009,451,10.284,59
3/8/2020,2,California,Calaveras,6009,481,9.691,56
3/9/2020,2,California,Calaveras,6009,424,17.385,100
3/10/2020,2,California,Calaveras,6009,418,17.189,99
